coin,price_usd,market_cap,timestamp
bitcoin,100855.0,2004450269777.602,2025-06-22 14:02:50.513440
ethereum,2200.65,265645536280.60602,2025-06-22 14:02:50.513451
dogecoin,0.148874,22291454489.069553,2025-06-22 14:02:50.513452
litecoin,79.25,6018664916.351556,2025-06-22 14:02:50.513453
ripple,1.97,115783712592.71796,2025-06-22 14:02:50.513455
